Angle,P(v15),aG_2_x,aG_2_y,aG_4_x,aG_4_y,alp_2,alp_4,F_24_x,F_24_y,F_32,F_42_x,F_42_y,T_13,L_AB
82,40.0,-0.09049537079382673,-0.7734940167862459,0.08870605907196406,-0.7734940167862459,-0.34249506509975924,-22.055893440285622,39.6153431848912,-217.40124833885298,2.65618848266538,39.6153431848912,-217.40124833885298,0.13275943788440223,70
83,40.0,-0.06859904964790715,-0.7764637617939798,0.12721682054423,-0.7764637617939799,-0.5038699376221059,-22.094301841796064,39.55847965927319,-217.77627268508465,2.8398489081075127,39.55847965927319,-217.77627268508465,0.14187685834234867,70
84,40.0,-0.04662988980681427,-0.7790879656146033,0.16594384507929416,-0.7790879656146033,-0.6654458983287586,-22.124851624732436,39.5012065856495,-218.0708849934711,3.0407541438940378,39.5012065856495,-218.0708849934711,0.1518220512486108,70
85,40.0,-0.024584366433618617,-0.7813669802205488,0.20489863848597922,-0.781366980220549,-0.8272875100467567,-22.147531100586846,39.44350154420454,-218.28502689373448,3.257153306106198,39.44350154420454,-218.28502689373448,0.16250107729248012,70
86,40.0,-0.002458922059742581,-0.7833010869527209,0.2440924456119793,-0.7833010869527209,-0.9894595077632768,-22.16232523427093,39.385342826262516,-218.4185965948189,3.4873041125564463,39.385342826262516,-218.4185965948189,0.17381989254460986,70
87,40.0,0.019750038149866332,-0.7848904974338655,0.2835362611871829,-0.7848904974338655,-1.1520268405263638,-22.169215813340625,39.3267094157018,-218.47145119818666,3.7294705929601557,39.3267094157018,-218.47145119818666,0.18568437824572642,70
88,40.0,0.04204615115652553,-0.7861353545038893,0.32324084065288156,-0.7861353545038893,-1.3150547134495791,-22.168181609940266,39.26758097044954,-218.44340890096527,3.9819208964227437,39.26758097044954,-218.44340890096527,0.1980003752349024,70
89,40.0,0.06443310083776409,-0.7870357331797038,0.363216711004186,-0.7870357331797037,-1.4786086298398777,-22.159198535600332,39.20793780399751,-218.33425109176733,4.242925190620007,39.20793780399751,-218.33425109176733,0.21067372308266422,70
90,40.0,0.0869146228125812,-0.7875916416424991,0.4034741816728411,-0.7875916416424991,-1.642754433467518,-22.142239789033034,39.147760866880546,-218.14372434202522,4.510753647237278,39.147760866880546,-218.14372434202522,0.2236103039843798,70
91,40.0,0.10949450930712522,-0.78780302225566,0.4440233554775592,-0.78780302225566,-1.8075583509962687,-22.117275997080952,39.087031728058925,-217.8715422957157,4.783674508411124,39.087031728058925,-217.8715422957157,0.23671609146058425,70
92,40.0,0.1321766140658554,-0.787669752616869,0.4848741396688187,-0.787669752616869,-1.97308703459139,-22.08427534898593,39.025732556146494,-217.51738746040152,5.059952229100166,39.025732556146494,-217.51738746040152,0.24989720390380732,70
93,40.0,0.1549648573132028,-0.7871916466482639,0.5260362570949337,-0.7871916466482639,-2.139407604722062,-22.043203724158147,38.96384610042643,-217.08091290258184,5.337845690489326,38.96384610042643,-217.08091290258184,0.26305996300550855,70
94,40.0,0.17786323077069932,-0.7863684557288945,0.5675192575160461,-0.7863684557288945,-2.306587693174082,-21.99402481364043,38.901355671597145,-216.56174385044443,5.615606479706078,38.901355671597145,-216.56174385044443,0.27611095709192496,70
95,40.0,0.20087580273448677,-0.7851998698740643,0.6093325290924811,-0.7851998698740643,-2.474695486287529,-21.93670023547794,38.83824512219087,-215.95947920721198,5.891477231307523,38.83824512219087,-215.95947920721198,0.2889571093943906,70
96,40.0,0.22400672321806295,-0.7836855189665475,0.6514853100737243,-0.7836855189665475,-2.643799768432956,-21.871189644220927,38.7744988266082,-215.27369297841386,6.163690026176324,38.7744988266082,-215.27369297841386,0.3015057512775874,70
97,40.0,0.24726022916505738,-0.781824974045052,0.6939867007140956,-0.781824974045052,-2.8139699657383646,-21.7974508348064,38.710101660711864,-214.50393561656324,6.430464843643898,38.710101660711864,-214.50393561656324,0.3136647004482651,70
98,40.0,0.27064064973676144,-0.7796177486557463,0.7368456754409439,-0.7796177486557463,-2.9852761900777813,-21.71543984108502,38.64503898092381,-213.64973528689706,6.690008062848614,38.64503898092381,-213.64973528689706,0.32534234416754326,70
99,40.0,0.2941524116790576,-0.7770633002730785,0.7800710953010092,-0.7770633002730784,-3.1577892833305956,-21.62511102928027,38.57929660276978,-212.71059905802642,6.940511009528134,38.57929660276978,-212.71059905802642,0.33644772749155916,70
100,40.0,0.31780004477330875,-0.7741610317966133,0.8236717207103501,-0.7741610317966132,-3.3315808619190994,-21.526417186690935,38.51286077881608,-211.6860140215716,7.180148544644697,38.51286077881608,-211.6860140215716,0.34689064656817786,70
101,40.0,0.34158818737567004,-0.7709102931310815,0.8676562245330237,-0.7709102931310815,-3.506723361629667,-21.4193096059715,38.44571817594365,-210.57544834508573,7.407077691451833,38.44571817594365,-210.57544834508573,0.35658174702172957,70
102,40.0,0.3655215920491741,-0.7673103828573627,0.9120332055134702,-0.7673103828573627,-3.683290082720842,-21.30373816535221,38.37785585190484,-209.3783522628466,7.6194362978284005,38.37785585190484,-209.3783522628466,0.36543262746308897,70
103,40.0,0.38960513129282426,-0.7633605500026638,0.9568112020873194,-0.7633605500026638,-3.8613552353192935,-21.179651405187517,38.309261231108785,-208.09415900936682,7.815341730936893,38.309261231108785,-208.09415900936682,0.37335594816903717,70
